City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
301,Narsaq,13,GL,1621375900,61,60.9167,-46.05,46.62,6.87
302,Orotukan,100,RU,1621375900,77,62.2667,151.7,37.8,5.68
303,Yumen,69,CN,1621375900,41,40.2833,97.2,54.21,14.18
304,Ossora,100,RU,1621375901,99,59.2353,163.0719,34.48,1.34
305,Vorozhba,75,UA,1621375901,95,51.1733,34.2192,54.01,7.18
306,Mehamn,97,NO,1621375901,88,71.0357,27.8492,46.0,10.18
307,Ribeira Grande,100,PT,1621375902,91,38.5167,-28.7,65.59,20.18
308,Ocós,14,GT,1621375902,69,14.5094,-92.1933,87.98,9.82
309,Almaznyy,53,RU,1621375902,86,48.0448,40.045,57.34,6.24
310,Pandan,100,PH,1621375903,85,14.0453,124.1694,81.0,9.73
311,Vostok,0,RU,1621375903,41,46.4856,135.8833,63.21,5.12
312,Ust-Nera,100,RU,1621375903,88,64.5667,143.2,37.72,4.99
313,Kenitra,40,MA,1621375904,84,34.261,-6.5802,66.72,7.92
314,Konin,100,PL,1621375904,92,52.2234,18.2512,50.92,5.08
315,Ampanihy,18,MG,1621375904,88,-24.7,44.75,65.39,10.07
316,Mar del Plata,41,AR,1621375828,58,-38.0023,-57.5575,55.87,3.0
317,Anadyr,40,RU,1621375905,86,64.75,177.4833,34.3,17.0
318,Pangnirtung,90,CA,1621375905,86,66.1451,-65.7125,28.4,13.8
319,Mezhdurechenskiy,5,RU,1621375905,90,59.6,65.9333,43.36,4.9
320,Bandarbeyla,16,SO,1621375906,82,9.4942,50.8122,81.9,18.9
321,Santa Cruz de la Sierra,45,BO,1621375906,54,-17.8,-63.1667,78.33,5.5
322,Kisanga,87,TZ,1621375906,92,-7.4362,37.7034,71.96,2.33
323,Nizhneangarsk,70,RU,1621375907,61,55.7833,109.55,32.0,2.01
324,Monkey Bay,7,MW,1621375907,62,-14.0728,34.9201,72.59,16.49
325,Hambantota,99,LK,1621375907,84,6.1241,81.1185,81.21,12.01
326,Agüimes,20,ES,1621375908,64,27.9054,-15.4461,68.63,20.71
327,Rosarito,1,MX,1621375908,65,32.3333,-117.0333,77.07,7.81
328,Tuatapere,100,NZ,1621375908,94,-46.1333,167.6833,50.83,8.86
329,Klaksvík,100,FO,1621375909,74,62.2266,-6.589,38.32,20.27
330,Bogorodskoye,27,RU,1621375909,75,56.55,37.8833,64.44,10.92
331,Zhezkazgan,26,KZ,1621375909,38,47.8043,67.7144,67.08,6.33
332,Korla,0,CN,1621375910,35,41.7597,86.1469,64.38,3.67
333,Borzya,90,RU,1621375910,31,50.3833,116.5167,49.17,4.32
334,Cuitzeo (La Estancia),0,MX,1621375910,16,20.3333,-102.7833,91.27,7.43
335,Hendek,58,TR,1621375911,92,40.7994,30.7481,53.78,5.28
336,Boden,27,SE,1621375911,91,65.8252,21.6886,42.8,4.92
337,Limpapa,100,PH,1621375911,92,7.1197,121.9106,74.93,5.41
338,Ancud,100,CL,1621375676,76,-41.8697,-73.8203,52.23,5.95
339,Walvis Bay,6,NA,1621375912,75,-22.9575,14.5053,64.09,7.9
340,Belyy,100,RU,1621375912,96,55.8402,32.9419,60.67,6.22
341,Egvekinot,99,RU,1621375912,95,66.3167,-179.1667,27.43,4.68
342,Valga,100,EE,1621375913,99,57.7778,26.0473,58.15,3.49
343,Karlovo,0,BG,1621375913,75,42.6333,24.8,54.57,2.55
344,Kiryat Gat,0,IL,1621375622,76,31.61,34.7642,72.39,3.69
345,Manado,40,ID,1621375714,89,1.487,124.8455,77.77,4.43
346,Ostrovnoy,100,RU,1621375914,93,68.0531,39.5131,56.17,13.82
347,Beyneu,90,KZ,1621375914,18,45.3167,55.2,80.06,10.11
348,Horta,100,PT,1621375914,91,38.5333,-28.6333,65.03,19.08
349,Provideniya,90,RU,1621375915,75,64.3833,-173.3,33.91,8.95
350,Batagay-Alyta,100,RU,1621375915,92,67.8006,130.4114,28.83,13.06
